psr,source_file,P_s,DM_LOTAAS,sigma,S135_cor,S135_exp,ra_deg,dec_deg,DM_atnf,P0_atnf
B2021+51,redetect.dat,0.5292,22.6,75.1,48.6,63.5,305.7078041666666,51.91395361111111,22.5497,0.5291969178083342
B2022+50,redetect.dat,0.3726,33.0,17.5,33.6,40.4,305.9247526527083,50.62635183354167,32.9882,0.3726190545356841
B2027+37,redetect.dat,1.2168,191.0,4.6,96.7,303.2,307.3494619135833,37.73560409965555,190.66,1.216804657740282
B2028+22,redetect.dat,0.6305,71.8,8.4,9.7,8.4,307.6685195032083,22.472731968627777,71.863,0.6305126466792664
B2034+19,redetect.dat,2.0744,36.9,22.6,6.3,26.0,309.31100039374996,19.714609394444444,36.89165,2.0743794511565805
B2043-04,redetect.dat,1.5469,35.9,66.5,41.6,126.8,311.5007208333333,-4.357293333333333,35.977,1.5469381168652414
B2044+15,redetect.dat,1.1383,39.8,52.0,0.0,39.1,311.66390541666664,15.675988333333333,39.818,1.1382856833155095
B2045+56,redetect.dat,0.4767,101.8,39.4,18.5,30.2,311.6941952930833,57.14363927351667,101.79029,0.4767348421469905
B2053+21,redetect.dat,0.8152,36.4,96.5,28.7,32.6,313.913127768125,22.157563163025,36.3496,0.815181102764579
B2053+36,redetect.dat,0.2215,97.5,10.4,30.1,35.4,313.88063374999996,36.50596361111111,97.415,0.22150763827703512
B2106+44,redetect.dat,0.4149,140.1,9.0,28.1,106.7,317.08534166666664,44.69690833333333,139.827,0.41487053687369
B2110+27,redetect.dat,1.2029,25.2,217.9,70.7,127.4,318.26812749999993,27.900322222222222,25.11106,1.202851754084704
B2111+46,redetect.dat,1.0147,141.6,68.6,244.5,2019.2,318.3513729166666,46.73579,141.26,1.0146847931889054
B2113+14,redetect.dat,0.4402,56.2,31.7,19.5,11.2,319.05729999999994,14.239177777777776,56.204,0.4401530669474793
B2122+13,redetect.dat,0.6941,30.2,19.1,11.1,4.7,321.1940337829166,14.121927933333334,30.2473,0.6940541217243695
B2148+52,redetect.dat,0.3322,149.1,12.4,10.7,64.0,327.65729124999996,52.79709888888889,148.93,0.33220567154090014
B2148+63,redetect.dat,0.3801,129.7,33.9,48.5,76.6,327.4945970833333,63.4956325,129.723,0.38014034472
B2154+40,redetect.dat,1.5253,71.1,117.6,105.4,222.5,329.25770624999996,40.29610722222222,71.124,1.5252656339647226
B2210+29,redetect.dat,1.0046,74.5,37.4,14.3,19.7,333.09726833333326,29.551503055555557,74.5213,1.0045925288525703
B2217+47,redetect.dat,0.5385,43.5,198.7,781.2,1010.2,334.9505791666666,47.91498055555555,43.4975,0.5384688219194349
B2224+65,redetect.dat,0.6825,36.4,155.6,126.3,190.6,336.47026124999996,65.59343638888889,36.4436,0.6825424974056123
B2227+61,redetect.dat,0.4431,124.6,44.8,58.9,108.8,337.42430395516664,62.09334354406945,124.639,0.4430545606381078
B2241+69,redetect.dat,1.6645,41.0,39.4,12.4,32.1,340.7350183573333,69.84782119791666,40.8604,1.664500786185397
B2255+58,redetect.dat,0.3683,151.1,30.6,149.0,81.1,344.49059439487496,59.15412501892778,151.082,0.3682464543421859
B2303+30,redetect.dat,1.5759,49.6,162.3,34.9,89.2,346.4930049999999,31.000355833333334,49.5845,1.5758863383593105
B2303+46,redetect.dat,1.0665,62.0,23.5,10.7,18.2,346.4826749999999,47.12925555555556,62.068,1.066371071565
B2306+55,redetect.dat,0.4751,46.6,78.5,133.4,119.7,347.0575916666666,55.79334166666666,46.5391,0.47506767480218853
B2310+42,redetect.dat,0.3494,17.3,126.3,129.5,152.3,348.2859204166666,42.88695638888889,17.2769,0.3494336821330819
B2315+21,redetect.dat,1.4447,20.9,71.3,44.3,92.0,349.49100791666666,21.830005277777776,20.8696,1.4446531023167097
B2319+60,redetect.dat,2.2565,94.3,21.1,12.6,106.7,350.4800522675416,60.408536148569446,94.591,2.2564884268242373
B2323+63,redetect.dat,1.4363,197.3,5.6,5.8,19.1,351.30549833333333,63.281211666666664,197.37,1.4363095361494225
B2324+60,redetect.dat,0.2337,122.3,17.7,22.0,56.1,351.7445661723333,61.22680117419723,122.613,0.23365196949460368
B2334+61,redetect.dat,0.4954,58.4,45.3,28.7,63.4,354.2740083333333,61.850425,58.41,0.4953698680281026
B2351+61,redetect.dat,0.9448,94.9,18.6,10.5,56.1,358.51992916666666,61.929679166666666,94.662,0.944783886655436
J0030+0451,redetect.dat,0.0049,4.3,60.2,0.0,55.0,7.614277258374998,4.861035608219444,4.33235,0.004865453286352125
J0033+57,redetect.dat,0.3145,75.6,51.6,29.7,0.0,8.25,57.0,75.65,0.315
J0033+61,redetect.dat,0.912,37.5,21.0,6.9,0.0,8.25,61.0,37.7,0.912
J0051+0423,redetect.dat,0.3547,13.9,115.8,73.9,0.0,12.875416666666666,4.380277777777778,13.93,0.3547317989
J0104+64,redetect.dat,1.3862,42.1,12.4,4.9,0.0,15.999999999999998,64.0,44.6,1.386
J0137+1654,redetect.dat,0.4148,26.1,33.4,15.3,7.2,24.349499999999995,16.911694444444443,26.084,0.4147630265082
J0139+5621,redetect.dat,1.7753,101.9,7.7,3.6,11.8,24.910666666666664,56.36022222222223,101.84,1.7753438259574654
J0158+21,redetect.dat,0.5053,19.8,8.0,3.4,0.0,29.62083333333333,21.133333333333333,20.0,0.5053
J0201+7005,redetect.dat,1.3492,21.1,10.8,4.2,0.0,30.422266666666665,70.08836388888888,21.029,1.3491844718464827
J0212+5222,redetect.dat,0.3764,38.2,14.6,11.5,13.6,33.21724373008333,52.38042118038056,38.21,0.3763863640605848
J0214+5222,redetect.dat,0.0246,22.0,39.4,25.0,24.3,33.73031041666666,52.37802972222222,22.0371,0.024575294816348767
J0220+36,redetect.dat,1.0298,45.3,22.5,14.6,0.0,,,,
J0242+62,redetect.dat,0.5917,3.8,60.2,48.7,0.0,40.645833333333336,62.947222222222216,3.92,0.592
J0329+1654,redetect.dat,0.8933,40.9,9.1,5.2,2.6,52.28562499999999,16.900555555555552,40.82,0.893319660649
J0338+66,redetect.dat,1.7619,66.6,35.2,9.4,0.0,,,,
J0341+5711,redetect.dat,1.8875,101.0,31.6,6.7,0.0,55.25,57.18333333333333,101.0,1.888
J0348+0432,redetect.dat,0.0391,40.5,10.3,10.8,0.0,57.18182916666666,4.536516111111111,40.46313,0.03912265635712975
J0355+28,redetect.dat,0.3649,48.7,10.4,4.5,0.0,58.74999999999999,28.0,48.68,0.36495
J0358+4155,redetect.dat,0.2265,46.3,61.6,21.9,0.0,59.513227078499995,41.921956068027775,46.325,0.22648433225189185
J0358+6627,redetect.dat,0.0915,62.3,10.8,5.9,0.0,59.65804245379166,66.46293949485833,62.33,0.09150578075474834
J0407+1607,redetect.dat,0.0257,35.6,63.5,71.9,65.5,61.978912499999986,16.121222222222222,35.593,0.02570173919463
J0408+551,redetect.dat,1.8376,56.3,22.6,6.6,0.0,62.0,55.0,55.0,1.837
J0413+58,redetect.dat,0.6865,57.1,18.1,7.9,0.0,63.24999999999999,58.0,57.0,0.687
J0417+35,redetect.dat,0.6544,48.5,11.4,5.0,0.0,64.42916666666666,35.75,48.5336,0.6544
J0426+4933,redetect.dat,0.9225,84.4,10.6,5.1,0.0,66.5283875,49.56068333333333,84.3,0.922474730055
J0435+2749,redetect.dat,0.3263,53.2,13.3,4.6,8.9,68.96590833333332,27.817138888888888,53.19,0.3262794534509304
J0457+23,redetect.dat,0.5049,58.8,14.4,9.2,0.0,74.27499999999999,23.566666666666666,59.0,0.5049
J0459-0210,redetect.dat,1.1331,21.0,88.4,60.9,50.3,74.96641782570832,-2.1685074977416665,21.23,1.1330771746565556
J0517+2212,redetect.dat,0.2224,18.7,58.2,105.6,32.0,79.32144583333331,22.214416666666665,18.705,0.22236651519824963
J0518+5416,redetect.dat,0.3402,42.3,27.3,11.2,0.0,79.72166746416666,54.28055852311389,42.33,0.3402026515995246
J0533+0402,redetect.dat,0.963,83.3,3.2,11.5,0.0,83.35762569291666,4.0333700694444445,83.861,0.9630178499973376
J0538+2817,redetect.dat,0.1432,39.9,20.5,33.3,37.5,84.60440499999999,28.285878055555557,39.57,0.1431582589117747
J0540+3207,redetect.dat,0.5243,62.1,45.5,28.1,0.0,85.15464999999999,32.127027777777776,61.97,0.5242708632083
J0546+2441,redetect.dat,2.8439,72.9,24.0,5.7,12.1,86.61983333333332,24.689166666666665,73.81,2.84385038524
J0555+3948,redetect.dat,1.1469,36.4,19.7,4.0,0.0,88.75,39.8,36.1,1.1469058
